,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2015 - Aug,18375.076,18826.606,,
2015 - Sep,18458.824,18922.507,,
2015 - Oct,18470.995,18919.185,,
2015 - Nov,18388.664,18838.432,,
2015 - Dec,18445.752,18919.213,,
2016 - Jan,18494.319,18980.056,,
2016 - Feb,18467.089,18956.366,,
2016 - Mar,18616.391,19068.930,,
2016 - Apr,18692.563,19079.761,,
2016 - May,18695.098,19049.842,,
2016 - Jun,18747.445,19058.738,,
2016 - Jul,18794.891,19115.681,,
2016 - Aug,18878.947,19193.041,,
2016 - Sep,19004.078,19285.135,,
2016 - Oct,18981.657,19217.198,,
2016 - Nov,19104.269,19330.568,,
2016 - Dec,19182.211,19365.316,,
2017 - Jan,19224.135,19351.815,,
2017 - Feb,19261.267,19374.416,,
2017 - Mar,19354.850,19468.848,,
2017 - Apr,19322.802,19396.259,,
2017 - May,19440.018,19515.765,,
2017 - Jun,19553.110,19608.872,,
2017 - Jul,19588.536,19608.977,,
2017 - Aug,19659.688,19631.999,,
2017 - Sep,19829.561,19741.289,,
2017 - Oct,19878.927,19756.977,,
2017 - Nov,20067.941,19912.392,,
2017 - Dec,20164.396,19977.615,,
2018 - Jan,20255.701,20005.832,,
2018 - Feb,20381.379,20093.592,,
2018 - Mar,20348.580,20032.774,,
2018 - Apr ,20468.610,20084.996,,
2018 - May,20621.228,20183.258,,
2018 - Jun,20652.898,20183.179,,
2018 - Jul,20752.209,20258.869,,
2018 - Aug,20812.486,20293.277,,
2018 - Sep,20831.495,20276.345,,
2018 - Oct,20888.611,20282.077,,
2018 - Nov,20913.330,20303.349,,
2018 - Dec,20951.660,20329.221,,
2019 - Jan,21090.263,20445.531,,
2019 - Feb,21076.521,20391.799,,
2019 - Mar,21168.017,20457.633,,
2019 - Apr,21311.061,20529.623,,
2019 - May,21369.433,20574.646,,
2019 - Jun,21513.320,20702.609,,
2019 - Jul,21679.464,20812.615,,
2019 - Aug,21711.295,20839.851,,
2019 - Sep,21760.754,20877.519,,
2019 - Oct,21804.395,20897.674,,
2019 - Nov,21969.646,21027.975,,
2019 - Dec,22025.610,21030.900,,
2020 - Jan,22080.527,21015.050,,
2020 - Feb,22125.902,21063.728,,
2020 - Mar,21047.286,20049.831,,
2020 - Apr,19024.896,18243.285,,
2020 - May,19899.893,19041.237,,
2020 - Jun,20950.084,19952.031,,
2020 - Jul,21484.841,20378.335,,
