rwshr,ppi,unint,cplt,ltint,prd,stlfsi,indprd,wtioil,wtioil
2.766666335,5.130884422,6.494691373,4.390281635,4.846666667,4.574030335,-0.992484615,4.724410825,58.07666667,4.061763977
2.717712775,5.167259104,6.445719819,4.38684169,4.73,4.571995956,-0.896592308,4.726028784,64.97666667,4.174028231
2.722935794,5.171241284,6.316893892,4.379634192,4.26,4.572047641,0.424661538,4.724113437,75.46666667,4.323691058
2.727560366,5.191845122,6.409154625,4.369474012,3.663333333,4.572130332,1.220430769,4.718357195,90.75333333,4.508145203
2.734478142,5.225029571,6.576901231,4.350980055,3.886666667,4.574917143,1.529207692,4.702495607,97.93666667,4.584321011
2.692395225,5.294643961,6.689885298,4.328592893,3.863333333,4.563305982,1.3692,4.680663793,123.9533333,4.819905151
2.682618173,5.318119994,6.822698354,4.296529111,3.253333333,4.549625763,2.042353846,4.647327289,118.05,4.771108264
2.770770454,5.192956851,6.987277851,4.267233811,2.736666667,4.554865876,7.080892308,4.615263411,58.34666667,4.066402231
2.75780592,5.141468606,7.498698069,4.23713332,3.313333333,4.56130189,3.891646154,4.581083073,42.91333333,3.759182578
2.70687497,5.150976779,7.780720886,4.236577363,3.516666667,4.579236804,1.917676923,4.57540833,59.44,4.0849674
2.684106603,5.172754144,7.912650119,4.249092207,3.46,4.593461911,0.631546154,4.582093284,68.20333333,4.22249344
2.693131328,5.189803737,8.03915739,4.26272213,3.716666667,4.602145617,0.104946154,4.589614826,76.06,4.331522503
2.680157279,5.218191322,8.297199674,4.273692257,3.49,4.605819975,-0.269869231,4.594197202,78.64,4.364880476
2.686340721,5.23039535,8.149847228,4.292515773,2.786666667,4.61575398,0.249461538,4.606289559,77.79,4.354012888
2.719757902,5.231108617,8.085653066,4.30053364,2.863333333,4.623864356,0.304623077,4.607224408,76.05333333,4.331434849
2.721549005,5.245092383,8.126130864,4.306362452,3.46,4.629560314,-0.16115,4.605910578,85.09666667,4.443787865
2.711842511,5.283203729,8.192207926,4.311240639,3.21,4.629618866,-0.299758333,4.604295804,93.53666667,4.538353516
2.685607621,5.322847364,8.210271213,4.314670815,2.426666667,4.627352333,-0.335576923,4.602784008,102.23,4.627225177
2.705597406,5.321382639,8.153459105,4.319998294,2.046666667,4.634330851,0.402778571,4.60569105,89.71666667,4.496656556
