rwshre,unint,capult,prd,,,,,,,,,,,,,,,,,,,,,,,,,
3.105,5.667,4.312,4.424,,,,,,,,,,,,,,,,,,,,,,,,,
3.091,5.92,4.311,4.421,,,,,,,,,,,,,,,,,,,,,,,,,
3.098,6.215,4.312,4.431,,,,,,,,,,,,,,,,,,,,,,,,,
3.104,5.904,4.316,4.436,,,,,,,,,,,,,,,,,,,,,,,,,
3.108,6.286,4.324,4.427,,,,,,,,,,,,,,,,,,,,,,,,,
3.15,6.279,4.323,4.403,,,,,,,,,,,,,,,,,,,,,,,,,
3.184,6.177,4.31,4.362,,,,,,,,,,,,,,,,,,,,,,,,,
3.208,5.679,4.322,4.348,,,,,,,,,,,,,,,,,,,,,,,,,
3.191,6.5,4.329,4.361,,,,,,,,,,,,,,,,,,,,,,,,,
3.155,6.254,4.324,4.395,,,,,,,,,,,,,,,,,,,,,,,,,
3.114,5.767,4.308,4.427,,,,,,,,,,,,,,,,,,,,,,,,,
3.096,6.094,4.319,4.447,,,,,,,,,,,,,,,,,,,,,,,,,
3.095,6.274,4.329,4.462,,,,,,,,,,,,,,,,,,,,,,,,,
3.082,6.674,4.327,4.465,,,,,,,,,,,,,,,,,,,,,,,,,
3.089,6.83,4.323,4.453,,,,,,,,,,,,,,,,,,,,,,,,,
3.101,6.114,4.313,4.438,,,,,,,,,,,,,,,,,,,,,,,,,
3.119,5.299,4.303,4.432,,,,,,,,,,,,,,,,,,,,,,,,,
3.119,5.7,4.293,4.427,,,,,,,,,,,,,,,,,,,,,,,,,
