Date       Open	   High	  Low	    Close
11/1/2022	1527.6	1574.79	1527.6	1566
11/2/2022	1566	1566	1491.44	1491.44
11/3/2022	1491.44	1520.31	1481.18	1519.22
11/4/2022	1519.22	1638.95	1519.22	1637.04
11/7/2022	1637.04	1637.04	1592.2	1600.95
11/8/2022	1600.95	1641.7	1600.33	1624.27
11/9/2022	1624.27	1634.02	1577.3	1583.59
11/10/2022	1583.59	1636.26	1583.59	1630.76
11/11/2022	1630.76	1727.5	1630.76	1700.39
11/14/2022	1681.08	1734.26	1681.08	1716.12
11/15/2022	1743.22	1750.03	1720.95	1729.77
11/16/2022	1729.77	1729.77	1688.38	1699.31
11/17/2022	1658.6	1698.76	1653.8	1698.71
11/18/2022	1705.36	1705.36	1672.13	1688.21
11/21/2022	1688.21	1704.22	1653.22	1700.81
11/22/2022	1700.82	1742.57	1700.82	1730.4
11/23/2022	1730.4	1732.74	1711.05	1730.67
11/25/2022	1730.67	1749.2	1730.67	1733.25
11/28/2022	1733.25	1733.25	1697.07	1702.69
11/29/2022	1702.69	1761.38	1702.69	1750.16
11/30/2022	1750.16	1789.04	1745.78	1787.37
12/1/2022	1787.37	1789.93	1768.48	1778.65
12/2/2022	1778.65	1811.38	1761.25	1809.69
12/5/2022	1809.69	1819.89	1767.64	1770
12/6/2022	1770.01	1801.73	1770.01	1790.55
12/7/2022	1790.55	1792.93	1765.68	1766.41
12/8/2022	1766.41	1809.75	1766.41	1781
12/9/2022	1781	1801.98	1762.13	1762.69
12/12/2022	1762.69	1762.69	1723.85	1757.04
12/13/2022	1757.04	1805.51	1757.04	1765.72
12/14/2022	1765.72	1765.72	1730.77	1752.36
12/15/2022	1752.36	1752.36	1693.52	1699.5
12/16/2022	1699.5	1699.81	1675.15	1696.47
12/19/2022	1696.47	1710.19	1672.83	1683.58
12/20/2022	1683.58	1739.06	1683.58	1720.3
12/21/2022	1720.3	1761.64	1720.3	1758.84
12/22/2022	1758.84	1761.81	1713.4	1748.82
12/23/2022	1748.82	1756.45	1743.02	1752.98
12/27/2022	1752.98	1779.97	1752.98	1768.63
12/28/2022	1768.63	1777.99	1735.2	1735.48
12/29/2022	1735.48	1751.53	1735.48	1742.91
12/30/2022	1742.91	1745.98	1721.44	1731.09
1/3/2023	1731.09	1747.5	1699.41	1707.69
1/4/2023	1707.69	1739.54	1706.35	1737.67
1/5/2023	1737.67	1775.63	1724.88	1768.45
1/6/2023	1768.45	1843.23	1768.45	1831.8
1/9/2023	1831.8	1853.8	1823.4	1823.56
1/10/2023	1823.56	1890.36	1823.56	1888.7
1/11/2023	1888.7	1911.24	1888.6	1909.36
1/12/2023	1909.36	1950.29	1909.36	1949.28
1/13/2023	1949.28	1966.98	1940.8	1964.12
1/17/2023	1964.12	1974.46	1936.62	1943.42
1/18/2023	1943.41	1988.07	1933.28	1933.58
1/19/2023	1933.58	1942.63	1910.28	1928.43
1/20/2023	1928.43	1961.65	1923.21	1961.43
1/23/2023	1961.43	1969.61	1949.67	1961.59
1/24/2023	1961.59	1970.74	1935.34	1966.3
1/25/2023	1966.3	1994.75	1949.97	1993.85
1/26/2023	1993.85	2058.61	1993.85	2058.22
1/27/2023	2058.22	2058.22	2020.94	2032.84
1/30/2023	2032.84	2035.08	2013.96	2014.34
1/31/2023	2014.34	2037.8	2004.47	2037.79
2/1/2023	2037.8	2071.93	2002.38	2060.79
2/2/2023	2060.79	2060.79	2014.81	2035.71
2/3/2023	2035.71	2073.85	2030.45	2034.61
2/6/2023	2034.61	2034.61	1976.33	1994.34
2/7/2023	1994.34	2004.09	1965.24	1990.08
2/8/2023	1990.08	1992.65	1973.19	1979.4
2/9/2023	1979.39	1997.27	1945.12	1948.47
2/10/2023	1948.46	1953.37	1928.68	1949.78
2/13/2023	1949.78	1976.24	1934.8	1972.33
2/14/2023	1972.33	2008.42	1962.6	2001.49
2/15/2023	2001.49	2018.83	1968.36	2018.28
2/16/2023	2018.28	2053.6	2015.51	2033.64
2/17/2023	2033.64	2033.64	2007.67	2015.7
2/21/2023	2015.7	2038.3	1987.14	1989.49
2/22/2023	1989.48	1990.42	1961.43	1976.52
2/23/2023	1976.52	1995.8	1941.6	1971.61
2/24/2023	1971.61	1971.61	1909	1934.49
2/27/2023	1934.49	1972.08	1934.49	1959.16
2/28/2023	1959.16	1997.13	1952.3	1980.48
3/1/2023	1980.48	2048.88	1980.48	2041.47
3/2/2023	2041.47	2073.97	2024.43	2071.19
3/3/2023	2071.19	2107.12	2071.19	2103.99
3/6/2023	2103.99	2103.99	2041.95	2051.34
3/7/2023	2051.34	2053.31	2008.85	2010.15
3/8/2023	2010.15	2041.47	2010.15	2036.38
3/9/2023	2036.38	2036.38	1964.59	1967.73
3/10/2023	1967.73	1967.73	1890.3	1900.49
3/13/2023	1900.49	1904.93	1857.22	1874.8
3/14/2023	1874.8	1915.04	1871.47	1889.84
3/15/2023	1889.84	1889.84	1737.13	1766.93
3/16/2023	1766.92	1797.94	1736.76	1791.6
3/17/2023	1791.6	1792.04	1754.29	1757.5
3/20/2023	1757.5	1807.91	1757.5	1793.32
3/21/2023	1793.32	1836.47	1793.32	1823.13
3/22/2023	1823.13	1840.78	1792.86	1792.86
3/23/2023	1792.86	1845.94	1777.15	1793.7
3/24/2023	1793.7	1804.55	1758.29	1798.15
3/27/2023	1798.15	1830.12	1798.15	1818.82
3/28/2023	1818.82	1850.82	1818.82	1837.8
3/29/2023	1837.8	1863.57	1837.8	1857.06
3/30/2023	1857.06	1889.91	1857.06	1880.06
3/31/2023	1880.06	1908	1880.06	1900.89
4/3/2023	1900.89	1915.31	1883.93	1905.63
4/4/2023	1905.63	1905.63	1817.55	1828.55
4/5/2023	1828.55	1828.55	1792.08	1812.38
4/6/2023	1812.38	1818.66	1789.23	1810.39
4/10/2023	1810.39	1863.24	1810.39	1851.26
4/11/2023	1851.26	1918.35	1851.26	1907.8
4/12/2023	1907.8	1927.33	1899.74	1903.21
4/13/2023	1903.21	1917.11	1899.54	1910.98
4/14/2023	1910.98	1910.98	1878.4	1891.27
4/17/2023	1891.27	1909.99	1888.7	1900.02
4/18/2023	1900.02	1923.63	1899.55	1922.2
4/19/2023	1922.2	1922.2	1870.38	1880.27
4/20/2023	1880.27	1902.93	1866.87	1880.17
4/21/2023	1880.17	1880.17	1814.54	1835.9
4/24/2023	1835.9	1848.82	1830.42	1845.26
4/25/2023	1845.26	1845.26	1773.06	1776.52
4/26/2023	1776.52	1797.55	1764.25	1768.97
4/27/2023	1768.97	1813.37	1768.64	1812.18
4/28/2023	1812.17	1815.66	1793.02	1814.64
5/1/2023	1814.64	1823.99	1789.95	1795.38
5/2/2023	1795.38	1795.38	1743.7	1774.88
5/3/2023	1774.88	1795.93	1765	1766.21
5/4/2023	1766.21	1766.21	1704.41	1706.3
5/5/2023	1706.3	1773.94	1706.3	1765.42
5/8/2023	1765.42	1797.77	1756.44	1762.04
5/9/2023	1762.04	1781.09	1743.16	1768.23
5/10/2023	1768.22	1782.84	1720.1	1743.59
5/11/2023	1743.59	1743.59	1694.91	1712.73
5/12/2023	1712.73	1729.14	1710.27	1715.54
5/15/2023	1715.54	1744.73	1715.54	1741.45
5/16/2023	1741.45	1741.45	1697.55	1698.32
5/17/2023	1698.32	1753.99	1698.32	1748.34
5/18/2023	1748.34	1755.92	1722.35	1753.92
5/19/2023	1753.92	1760.41	1733.99	1742.25
5/22/2023	1742.25	1755.04	1736.3	1748.44
5/23/2023	1748.44	1748.44	1716.86	1727.86
5/24/2023	1727.86	1727.86	1682.03	1689.77
5/25/2023	1689.77	1690.99	1667.69	1681.84
5/26/2023	1681.84	1709.59	1681.84	1704.82
5/30/2023	1704.82	1704.82	1658.06	1666.11
5/31/2023	1666.11	1666.11	1631.72	1644.79
6/1/2023	1644.79	1684.42	1644.79	1678.18
6/2/2023	1678.18	1770.48	1678.18	1766.41
6/5/2023	1766.41	1770.5	1734.17	1756.97
6/6/2023	1756.97	1796.31	1751.08	1794.62
6/7/2023	1794.62	1824.77	1794.62	1816.2
6/8/2023	1816.2	1832.32	1809.02	1824.75
6/9/2023	1824.75	1833.35	1811.17	1817.02
6/12/2023	1817.02	1817.92	1784.62	1812.09
