usst,ppironstl,iprinstl.ts,steelee.ts
590.130,270.063,95.915,250.900
627.130,261.341,96.402,248.600
648.860,262.503,96.014,251.900
685.300,279.275,93.154,249.000
711.720,292.398,94.531,250.300
607.290,267.013,95.068,250.600
622.260,259.689,92.315,252.500
589.580,262.449,93.146,253.100
614.940,258.511,91.643,253.700
564.040,250.669,91.369,252.900
566.110,244.033,91.786,252.000
551.380,239.142,93.480,250.300
603.710,238.862,90.916,250.200
480.890,243.857,90.289,250.000
521.410,232.092,94.886,251.100
548.410,226.445,94.721,250.500
503.370,234.656,93.862,252.700
