Date,Open,High,Low,Close
2013-06-20,1066.62,1072.18,1049.16,1058.56
2013-06-21,1058.68,1063.03,1041.09,1049.66
2013-06-24,1035.48,1035.48,999.68,1015.60
2013-06-25,1027.32,1040.76,1018.66,1037.08
2013-06-26,1037.08,1042.75,1024.27,1034.11
2013-06-27,1039.16,1054.34,1039.16,1048.64
2013-06-28,1039.04,1048.69,1036.53,1044.49
2013-07-01,1051.79,1065.25,1049.59,1056.98
2013-07-02,1051.05,1058.78,1033.14,1054.79
2013-07-03,1046.48,1047.57,1035.71,1042.83
2013-07-05,1046.86,1049.64,1027.01,1039.22
2013-07-08,1039.22,1052.64,1039.22,1043.17
2013-07-09,1043.17,1063.12,1043.17,1058.54
2013-07-10,1058.73,1063.42,1047.97,1052.28
2013-07-11,1079.00,1094.69,1079.00,1094.39
2013-07-12,1085.51,1085.51,1069.51,1073.65
2013-07-15,1078.09,1085.89,1078.09,1084.14
2013-07-16,1096.41,1096.41,1083.84,1092.55
2013-07-17,1104.48,1112.15,1099.85,1108.48
2013-07-18,1108.91,1123.27,1108.79,1114.32
2013-07-19,1111.26,1111.26,1101.48,1105.10
2013-07-22,1110.22,1120.19,1110.22,1117.13
2013-07-23,1130.87,1146.99,1130.87,1141.87
2013-07-24,1140.22,1140.22,1115.99,1123.97
2013-07-25,1117.29,1131.64,1115.86,1130.97
2013-07-26,1131.67,1138.25,1125.75,1138.03
2013-07-29,1134.21,1137.26,1127.07,1131.91
2013-07-30,1133.28,1134.65,1123.99,1126.99
2013-07-31,1126.39,1133.78,1118.70,1120.94
2013-08-01,1133.95,1136.82,1130.26,1133.11
2013-08-02,1131.04,1144.49,1127.98,1137.12
2013-08-05,1136.47,1141.96,1134.85,1137.58
2013-08-06,1133.30,1133.90,1118.39,1122.13
2013-08-07,1119.85,1136.67,1117.76,1127.32
2013-08-08,1140.02,1169.56,1140.02,1161.68
2013-08-09,1170.33,1208.26,1169.96,1200.92
2013-08-12,1200.31,1216.70,1200.13,1206.55
2013-08-13,1212.33,1213.78,1199.32,1202.16
2013-08-14,1200.65,1214.52,1199.70,1206.40
2013-08-15,1192.99,1198.95,1176.84,1194.30
2013-08-16,1193.31,1200.52,1184.77,1190.45
2013-08-19,1188.09,1192.04,1174.56,1176.79
2013-08-20,1172.20,1182.18,1168.38,1174.87
2013-08-21,1165.45,1169.06,1148.24,1151.55
2013-08-22,1163.46,1188.31,1163.46,1183.16
2013-08-23,1190.26,1195.89,1186.17,1192.97
2013-08-26,1193.04,1199.90,1182.35,1184.93
2013-08-27,1171.79,1172.59,1154.61,1156.12
2013-08-28,1153.52,1170.89,1151.74,1161.62
2013-08-29,1155.67,1162.48,1147.92,1151.63
2013-08-30,1153.00,1154.85,1134.92,1139.36
2013-09-03,1167.64,1176.88,1160.06,1166.04
2013-09-04,1163.61,1181.68,1161.26,1181.33
2013-09-05,1175.89,1196.57,1175.07,1192.86
2013-09-06,1200.29,1208.31,1191.41,1197.94
2013-09-09,1207.33,1231.96,1207.33,1230.55
2013-09-10,1243.02,1255.56,1242.99,1255.43
2013-09-11,1251.45,1259.02,1241.83,1253.88
2013-09-12,1245.38,1247.07,1236.03,1239.23
2013-09-13,1235.02,1238.37,1229.46,1234.59
2013-09-16,1251.93,1258.18,1239.89,1240.90
2013-09-17,1244.21,1255.94,1244.21,1252.78
2013-09-18,1252.98,1290.66,1249.01,1288.13
2013-09-19,1290.45,1293.55,1272.64,1278.03
2013-09-20,1274.23,1274.66,1251.11,1252.75
2013-09-23,1254.81,1263.48,1251.86,1252.24
2013-09-24,1250.75,1259.05,1244.59,1249.59
2013-09-25,1253.70,1257.32,1247.50,1248.44
2013-09-26,1253.25,1258.87,1247.47,1255.22
2013-09-27,1248.53,1248.53,1227.77,1231.68
2013-09-30,1218.46,1229.42,1212.22,1225.91
2013-10-01,1223.61,1238.07,1222.57,1231.32
2013-10-02,1228.14,1242.72,1226.38,1241.89
2013-10-03,1240.40,1247.89,1225.21,1229.58
2013-10-04,1226.10,1241.52,1223.45,1240.99
2013-10-07,1230.30,1243.46,1226.27,1236.24
2013-10-08,1236.63,1239.81,1224.02,1224.70
2013-10-09,1227.73,1228.32,1209.10,1218.95
2013-10-10,1231.57,1252.50,1231.00,1248.28
2013-10-11,1246.80,1263.63,1245.03,1260.90
2013-10-14,1254.85,1286.37,1252.71,1281.62
2013-10-15,1281.62,1307.70,1281.62,1296.40
2013-10-16,1296.40,1307.72,1295.11,1297.89
2013-10-17,1294.68,1312.43,1294.68,1309.23
2013-10-18,1311.27,1313.06,1303.95,1307.67
2013-10-21,1318.52,1323.97,1310.47,1315.83
2013-10-22,1320.93,1338.06,1320.93,1330.75
2013-10-23,1315.37,1315.37,1301.75,1310.69
2013-10-24,1315.25,1316.04,1305.09,1306.77
2013-10-25,1304.69,1308.43,1296.46,1306.87
2013-10-28,1301.37,1306.31,1295.48,1304.43
2013-10-29,1302.36,1312.50,1295.81,1312.34
2013-10-30,1309.27,1314.52,1294.75,1303.52
2013-10-31,1303.52,1311.52,1297.06,1302.04
2013-11-01,1304.05,1323.95,1303.94,1321.73
2013-11-04,1337.70,1352.52,1337.70,1352.52
2013-11-05,1346.03,1348.79,1333.21,1345.92
2013-11-06,1350.43,1356.48,1343.95,1354.97
2013-11-07,1359.46,1359.48,1323.54,1325.27
2013-11-08,1326.04,1346.79,1317.95,1345.82
2013-11-11,1342.41,1345.20,1336.42,1339.49
2013-11-12,1331.95,1331.95,1308.52,1314.96
2013-11-13,1296.34,1315.34,1287.22,1315.04
2013-11-14,1316.40,1326.05,1309.43,1323.28
2013-11-15,1327.90,1338.85,1325.99,1336.39
2013-11-18,1342.44,1351.07,1335.57,1338.83
2013-11-19,1341.62,1346.59,1326.06,1331.27
2013-11-20,1340.30,1344.62,1318.34,1322.77
2013-11-21,1323.30,1324.55,1312.97,1316.87
2013-11-22,1315.84,1316.35,1308.58,1312.50
2013-11-25,1310.60,1311.53,1296.05,1298.32
2013-11-26,1293.46,1293.46,1280.92,1284.69
2013-11-27,1293.66,1298.09,1288.57,1290.63
2013-11-29,1306.46,1314.28,1306.43,1308.09
2013-12-02,1308.39,1311.03,1295.00,1295.28
2013-12-03,1292.58,1308.49,1287.80,1294.59
2013-12-04,1296.82,1309.49,1294.65,1305.68
2013-12-05,1309.71,1320.92,1307.81,1312.28
2013-12-06,1325.07,1330.37,1315.34,1319.14
