ip.lg,fsi,ff,ppi.lg
4.518123172,0.555439865,5.3,4.850466542
4.516754187,0.574841293,5.45,4.854371272
4.519872612,0.576298295,5.73,4.865994804
4.523422025,1.227986852,5.85,4.873669439
4.529356606,1.335085997,6.02,4.872904621
4.532060638,1.422033678,6.27,4.879767019
4.532451095,1.588922844,6.53,4.896346148
4.530498363,0.960873721,6.54,4.895598484
4.527771729,0.825865762,6.5,4.889596966
4.532375812,1.04986283,6.52,4.903050083
4.528482428,1.214275209,6.51,4.90823336
4.528762032,1.372444869,6.51,4.905274778
4.525493661,1.693829245,6.4,4.914124394
4.520722792,1.543962038,5.98,4.941642423
4.514188027,1.093210651,5.49,4.92289638
4.512135615,1.271875416,5.31,4.911919321
4.508539234,1.254212324,4.8,4.915591745
4.50375189,0.8151983,4.21,4.918520005
4.498457646,0.778318069,3.97,4.90897164
4.492032842,0.679962475,3.77,4.893352133
4.490884403,0.694355299,3.65,4.893352133
4.485806527,1.198866359,3.07,4.892602227
4.483061307,1.42984849,2.49,4.869839484
4.476995847,0.738530828,2.09,4.865994804
4.476568337,0.562011796,1.82,4.852811209
4.483201402,0.530684482,1.73,4.855928904
4.483316627,0.438998395,1.74,4.855150391
4.49052896,0.357973068,1.73,4.865994804
4.495399962,0.471329326,1.75,4.873669439
4.49940959,0.242144189,1.75,4.873669439
4.50762461,0.717843428,1.75,4.874433673
4.507302639,1.194895769,1.73,4.876722877
4.506191485,1.004122057,1.74,4.879006852
4.507040134,1.443007451,1.75,4.885072071
4.504955298,1.53766495,1.75,4.891851758
4.510541874,0.908722816,1.34,4.891100725
4.504965246,0.665356369,1.24,4.889596966
4.513450652,0.554437837,1.24,4.907494535
4.514638073,0.492528596,1.26,4.924350925
4.512006102,0.484794401,1.25,4.950177325
4.506031386,0.183347308,1.26,4.918520005
4.505758607,-0.070438846,1.26,4.917788744
4.507035722,-0.121652871,1.22,4.927253685
4.512160857,-0.213141796,1.01,4.925077406
4.509976699,-0.306553792,1.03,4.927253685
4.516403451,-0.456520271,1.01,4.930870326
4.517634308,-0.458721271,1.01,4.936629881
4.5243169,-0.52157763,1,4.93375425
4.524612846,-0.593942705,0.98,4.938064601
4.526133472,-0.584534132,1,4.951592753
4.532147778,-0.694715449,1.01,4.956531035
4.528139022,-0.570799151,1,4.963543687
4.531846522,-0.488298651,1,4.97535348
4.539044272,-0.530320736,1,4.989071116
4.531211433,-0.630159036,1.03,4.991792206
4.538655313,-0.604262768,1.26,4.99314998
4.53932628,-0.608137521,1.43,4.997212274
4.540596464,-0.621445651,1.61,4.99518319
4.549091777,-0.487678429,1.76,5.010635294
4.551572132,-0.566513153,1.93,5.019925341
4.559508373,-0.719471146,2.16,5.011967739
4.563098453,-0.6339513,2.28,5.016617366
4.570331299,-0.859942514,2.5,5.021245473
4.568979119,-0.762869168,2.63,5.035002651
4.571129314,-0.426222498,2.79,5.043425117
4.572029035,-0.489436106,3,5.038898759
4.576516564,-0.5689334,3.04,5.038898759
4.573345098,-0.604305176,3.26,5.051777237
4.576598886,-0.726209304,3.5,5.060060177
4.557035057,-0.591540687,3.62,5.088830142
4.569099387,-0.468838704,3.78,5.113191882
4.580276903,-0.495860475,4,5.098035484
