,Monthly Nominal GDP Index,Monthly Real GDP Index
2023 - Aug,28119.024,22864.319
2023 - Sep,28270.315,22923.377
2023 - Oct,28205.507,22865.091
2023 - Nov,28372.725,22996.470
2023 - Dec,28695.935,23243.736
2024 - Jan,28413.155,22921.465
2024 - Feb,28820.054,23173.954
2024 - Mar,28891.274,23155.034
2024 - Apr,29040.669,23217.461
2024 - May,29169.233,23317.033
2024 - Jun,29231.230,23329.167
2024 - Jul,29488.090,23477.667
2024 - Aug,29514.368,23487.154
2024 - Sep,29532.534,23475.134
2024 - Oct,29771.048,23574.487
2024 - Nov,29862.254,23628.118
2024 - Dec,29842.244,23561.366
2025 - Jan,29970.677,23547.023
2025 - Feb,30021.720,23515.496
2025 - Mar,30133.942,23586.285
2025 - Apr,30380.827,23760.394
2025 - May,30330.675,23666.101
2025 - Jun,30752.055,23894.766
2025 - Jul,30977.799,24004.932
2025 - Aug,31132.925,24040.470
2025 - Sep,31400.042,24125.729
2025 - Oct,31523.409,24171.812
,,
