rwshr.lg,gdpdf.lg,urint.lg,capult.lg,ff,lbrprd.lg,fsi,ip.lg,ppi.lg
4.187,4.465,6.8,4.391,4.76,5.557,0.329,4.623,5.163
4.189,4.466,6.817,4.396,4.49,5.557,0.979,4.628,5.187
4.188,4.467,6.838,4.396,4.24,5.557,1.043,4.629,5.185
4.185,4.468,6.891,4.395,3.94,5.557,1.532,4.627,5.198
4.184,4.47,6.836,4.391,2.98,5.557,1.274,4.623,5.208
4.184,4.471,6.852,4.389,2.61,5.557,1.92,4.62,5.236
4.181,4.472,6.856,4.382,2.28,5.557,1.609,4.614,5.252
4.136,4.474,6.915,4.376,1.98,5.557,1.023,4.608,5.281
4.153,4.477,6.981,4.374,2,5.557,1.673,4.606,5.301
4.165,4.48,7.01,4.37,2.01,5.557,2.456,4.602,5.325
4.175,4.482,7.101,4.353,2,5.557,1.75,4.586,5.293
4.174,4.484,7.151,4.307,1.81,5.557,2.799,4.541,5.283
4.177,4.484,7.282,4.316,0.97,5.557,5.73,4.551,5.228
4.176,4.484,7.275,4.301,0.39,5.557,5.785,4.538,5.175
4.174,4.484,7.398,4.271,0.16,5.557,5.626,4.509,5.141
4.164,4.484,7.459,4.245,0.15,5.557,5.766,4.484,5.143
4.163,4.484,7.541,4.237,0.22,5.557,4.842,4.478,5.132
4.162,4.483,7.622,4.221,0.18,5.557,4.814,4.462,5.125
4.166,4.482,7.694,4.212,0.15,5.558,4.683,4.454,5.13
4.156,4.482,7.769,4.201,0.18,5.558,3.201,4.443,5.14
4.167,4.482,7.844,4.197,0.21,5.558,1.859,4.44,5.16
4.168,4.482,7.893,4.209,0.16,5.558,1.829,4.451,5.15
4.167,4.483,7.912,4.221,0.16,5.558,1.334,4.462,5.165
4.162,4.484,7.982,4.231,0.15,5.558,0.889,4.471,5.16
4.165,4.485,8.036,4.235,0.12,5.559,0.852,4.473,5.166
4.165,4.486,8.075,4.241,0.12,5.559,0.857,4.478,5.178
4.16,4.487,8.103,4.246,0.12,5.559,0.58,4.482,5.182
4.15,4.488,8.113,4.259,0.11,5.559,0.593,4.492,5.203
4.145,4.489,8.096,4.265,0.13,5.559,0.337,4.496,5.198
4.145,4.49,8.165,4.274,0.16,5.559,-0.001,4.503,5.211
4.146,4.493,8.217,4.279,0.2,5.559,-0.117,4.506,5.217
4.147,4.494,8.207,4.295,0.2,5.559,0.574,4.52,5.219
4.147,4.495,8.201,4.299,0.18,5.559,0.528,4.522,5.212
4.148,4.496,8.183,4.304,0.18,5.559,0.473,4.526,5.215
4.145,4.497,8.188,4.309,0.19,5.559,0.215,4.529,5.22
4.144,4.498,8.179,4.314,0.19,5.559,0.148,4.532,5.22
4.144,4.501,8.186,4.312,0.19,5.56,0.183,4.529,5.229
4.141,4.503,8.225,4.314,0.19,5.559,-0.021,4.53,5.235
4.138,4.505,8.196,4.324,0.18,5.559,-0.105,4.54,5.245
4.131,4.506,8.244,4.322,0.17,5.559,-0.231,4.538,5.261
