Date,Primary Metals Compensation Ratioi
4/1/2006,1.2429
5/1/2006,1.2421
6/1/2006,1.2416
7/1/2006,1.2412
8/1/2006,1.2411
9/1/2006,1.2413
10/1/2006,1.2416
11/1/2006,1.2423
12/1/2006,1.2433
1/1/2007,1.2445
2/1/2007,1.2456
3/1/2007,1.2467
4/1/2007,1.2477
5/1/2007,1.2487
6/1/2007,1.2497
7/1/2007,1.2507
8/1/2007,1.2516
9/1/2007,1.2525
10/1/2007,1.2534
11/1/2007,1.2542
12/1/2007,1.255
1/1/2008,1.2558
2/1/2008,1.2565
3/1/2008,1.2572
4/1/2008,1.258
5/1/2008,1.2588
6/1/2008,1.2596
7/1/2008,1.2605
8/1/2008,1.2614
9/1/2008,1.2623
10/1/2008,1.2633
11/1/2008,1.2645
12/1/2008,1.266
1/1/2009,1.2677
2/1/2009,1.269
3/1/2009,1.2697
4/1/2009,1.2701
5/1/2009,1.2699
6/1/2009,1.2694
7/1/2009,1.2684
8/1/2009,1.2669
9/1/2009,1.2649
10/1/2009,1.2624
11/1/2009,1.2594
12/1/2009,1.2558
1/1/2010,1.2517
2/1/2010,1.2482
3/1/2010,1.2453
4/1/2010,1.2429
5/1/2010,1.2407
6/1/2010,1.2388
7/1/2010,1.2372
8/1/2010,1.2358
9/1/2010,1.2347
10/1/2010,1.2338
11/1/2010,1.2332
12/1/2010,1.2329
1/1/2011,1.233
2/1/2011,1.233
3/1/2011,1.2329
4/1/2011,1.2327
5/1/2011,1.2326
6/1/2011,1.2325
7/1/2011,1.2324
8/1/2011,1.2324
9/1/2011,1.2324
10/1/2011,1.2323
11/1/2011,1.2323
12/1/2011,1.2323
1/1/2012,1.2322
2/1/2012,1.2322
3/1/2012,1.2321
4/1/2012,1.2321
5/1/2012,1.232
6/1/2012,1.2319
7/1/2012,1.2319
8/1/2012,1.2318
9/1/2012,1.2317
10/1/2012,1.2315
11/1/2012,1.2314
12/1/2012,1.2313
1/1/2013,1.2312
2/1/2013,1.2309
3/1/2013,1.2306
4/1/2013,1.2302
5/1/2013,1.2296
6/1/2013,1.229
7/1/2013,1.2282
8/1/2013,1.2274
9/1/2013,1.2265
10/1/2013,1.2256
11/1/2013,1.2244
12/1/2013,1.2232
1/1/2014,1.2218
2/1/2014,1.2207
3/1/2014,1.2199
4/1/2014,1.2194
5/1/2014,1.2191
6/1/2014,1.2191
7/1/2014,1.2192
8/1/2014,1.2196
9/1/2014,1.2202
10/1/2014,1.2211
11/1/2014,1.2222
12/1/2014,1.2237
1/1/2015,1.2254
2/1/2015,1.227
3/1/2015,1.2283
4/1/2015,1.2294
5/1/2015,1.2304
6/1/2015,1.2314
7/1/2015,1.2322
8/1/2015,1.2329
9/1/2015,1.2336
10/1/2015,1.2341
11/1/2015,1.2345
12/1/2015,1.2346
1/1/2016,1.2346
2/1/2016,1.2347
3/1/2016,1.2348
4/1/2016,1.2351
5/1/2016,1.2355
6/1/2016,1.2359
7/1/2016,1.2363
8/1/2016,1.2368
9/1/2016,1.2373
10/1/2016,1.2379
11/1/2016,1.2386
12/1/2016,1.2393
1/1/2017,1.24
2/1/2017,1.2407
3/1/2017,1.2414
4/1/2017,1.2421
5/1/2017,1.2427
6/1/2017,1.2433
7/1/2017,1.2439
8/1/2017,1.2445
9/1/2017,1.245
10/1/2017,1.2455
11/1/2017,1.2461
12/1/2017,1.2467
1/1/2018,1.2474
2/1/2018,1.2477
3/1/2018,1.2477
4/1/2018,1.2473
5/1/2018,1.2467
6/1/2018,1.2458
7/1/2018,1.2447
8/1/2018,1.2434
9/1/2018,1.2418
10/1/2018,1.24
11/1/2018,1.2379
12/1/2018,1.2354
1/1/2019,1.2326
2/1/2019,1.23
3/1/2019,1.2276
4/1/2019,1.2254
5/1/2019,1.2233
6/1/2019,1.2212
7/1/2019,1.2191
8/1/2019,1.2172
9/1/2019,1.2153
10/1/2019,1.2135
11/1/2019,1.2116
12/1/2019,1.2096
1/1/2020,1.2074
2/1/2020,1.206
3/1/2020,1.2052
4/1/2020,1.2052
5/1/2020,1.2057
6/1/2020,1.2068
7/1/2020,1.2085
8/1/2020,1.2107
9/1/2020,1.2135
10/1/2020,1.2168
11/1/2020,1.2209
12/1/2020,1.2258
1/1/2021,1.2315
2/1/2021,1.2362
3/1/2021,1.2397
4/1/2021,1.2422
5/1/2021,1.2441
6/1/2021,1.2453
7/1/2021,1.2459
8/1/2021,1.246
9/1/2021,1.2455
10/1/2021,1.2444
11/1/2021,1.2426
12/1/2021,1.2399
1/1/2022,1.2365
2/1/2022,1.2336
3/1/2022,1.2313
4/1/2022,1.2296
5/1/2022,1.2281
6/1/2022,1.2269
7/1/2022,1.2259
8/1/2022,1.2251
9/1/2022,1.2246
10/1/2022,1.2243
11/1/2022,1.2244
12/1/2022,1.2248
1/1/2023,1.2255
2/1/2023,1.2261
3/1/2023,1.2267
4/1/2023,1.2272
5/1/2023,1.2278
6/1/2023,1.2284
7/1/2023,1.229
8/1/2023,1.2297
9/1/2023,1.2304
10/1/2023,1.231
11/1/2023,1.2317
12/1/2023,1.2324
1/1/2024,1.2332
2/1/2024,1.2338
3/1/2024,1.2344
4/1/2024,1.2349
5/1/2024,1.2354
6/1/2024,1.2358
7/1/2024,1.2362
8/1/2024,1.2365
9/1/2024,1.2368
10/1/2024,1.2369
11/1/2024,1.237
12/1/2024,1.2371
1/1/2025,
2/1/2025,
3/1/2025,
4/1/2025,
5/1/2025,
6/1/2025,
7/1/2025,
8/1/2025,
9/1/2025,
10/1/2025,
11/1/2025,
12/1/2025,
