,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2017 - Nov,20068.429,19912.894,,
2017 - Dec,20162.746,19975.970,,
2018 - Jan,20256.820,20006.936,,
2018 - Feb,20380.112,20092.373,,
2018 - Mar,20348.727,20032.894,,
2018 - Apr ,20470.090,20086.380,,
2018 - May,20621.592,20183.643,,
2018 - Jun,20651.054,20181.416,,
2018 - Jul,20752.164,20258.810,,
2018 - Aug,20813.605,20294.307,,
2018 - Sep,20830.421,20275.379,,
2018 - Oct,20888.400,20281.948,,
2018 - Nov,20912.741,20302.756,,
2018 - Dec,20952.460,20329.944,,
2019 - Jan,21088.319,20443.428,,
2019 - Feb,21077.100,20392.307,,
2019 - Mar,21169.381,20459.233,,
2019 - Apr,21310.773,20529.340,,
2019 - May,21370.170,20575.404,,
2019 - Jun,21512.872,20702.140,,
2019 - Jul,21679.484,20812.635,,
2019 - Aug,21711.172,20839.664,,
2019 - Sep,21760.856,20877.694,,
2019 - Oct,21807.379,20900.466,,
2019 - Nov,21970.174,21028.339,,
2019 - Dec,22022.099,21027.779,,
2020 - Jan,22041.797,20989.326,,
2020 - Feb,22112.227,21056.282,,
2020 - Mar,21028.946,20035.075,,
2020 - Apr,19025.298,18239.402,,
2020 - May,19860.704,19003.335,,
2020 - Jun,20920.330,19929.438,,
2020 - Jul,21468.672,20373.443,,
2020 - Aug,21650.807,20515.991,,
2020 - Sep,21934.173,20760.597,,
2020 - Oct,22086.056,20859.273,,
2020 - Nov,21934.330,20659.002,,
2020 - Dec,22185.915,20800.467,,
2021 - Jan,22615.725,21108.685,,
2021 - Feb,22393.384,20821.792,,
2021 - Mar,22961.270,21248.712,,
2021 - Apr,23220.162,21387.572,,
2021 - May,23348.231,21370.936,,
2021 - June,23538.190,21412.355,,
2021 - July,23781.479,21534.577,,
2021 - Aug,23886.724,21522.855,,
2021 - Sep,24097.771,21660.622,,
2021 - Oct,24561.066,21897.217,,
2021 - Nov,24725.110,21898.774,,
2021 - Dec,25044.938,22089.184,,
2022 - Jan,24990.972,21883.475,,
2022 - Feb,25132.076,21848.218,,
2022 - Mar,25523.425,21983.872,,
2022 - Apr,25604.241,21961.527,,
2022 - May,25820.870,21940.649,,
2022 - Jun,25992.262,21859.620,,
2022 - Jul,26051.207,21941.930,,
2022 - Aug,26384.707,22156.976,,
2022 - Sep,26380.120,22105.741,,
2022 - Oct,26667.112,22227.453,,
2022 - Nov,26779.203,22253.636,,
2022 - Dec,26756.516,22271.496,,
2023 - Jan,27087.740,22409.309,,
2023 - Feb,27113.542,22340.956,,
2023 - Mar,27291.795,22464.049,,
2023 - Apr,27347.191,22474.431,,
2023 - May,27466.953,22574.096,,
2023 - Jun,27547.301,22573.744,,
2023 - Jul,27735.740,22684.536,,
2023 - Aug,28014.084,22804.646,,
2023 - Sep,28153.267,22857.637,,
2023 - Oct,28079.395,22792.985,,
2023 - Nov,28236.890,22918.082,,
2023 - Dec,28574.617,23174.685,,
2024 - Jan,28379.848,22931.901,,
2024 - Feb,28701.165,23116.822,,
2024 - Mar,28791.194,23116.038,,
2024 - Apr,28934.011,23172.571,,
2024 - May,29043.216,23257.544,,
2024 - Jun,29072.915,23245.728,,
2024 - Jul,29343.644,23393.781,,
2024 - Aug,29378.419,23405.484,,
2024 - Sep,29402.680,23405.876,,
2024 - Oct,29653.365,23516.681,,
2024 - Nov,29768.208,23591.219,,
2024 - Dec,29750.019,23523.566,,
2025 - Jan,29903.889,23526.711,,
2025 - Feb,29956.716,23490.689,,
2025 - Mar,30025.517,23525.148,,
2025 - Apr,30309.807,23706.903,,
2025 - May,30202.053,23595.871,,
2025 - Jun,30509.315,23765.445,,
,,,,
