ceaindx.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
3.893044039,7.490284703,4.210692518,4.627909673,9.47
3.898937766,7.514095352,4.216622775,4.633757643,9.56
3.90499839,7.417681622,4.210976872,4.636668853,9.59
3.909620121,7.422930978,4.208675956,4.643428898,9.91
3.914619631,7.39950116,4.210276325,4.644390899,10.29
3.920189568,7.354455779,4.209742954,4.645351976,10.32
3.925531355,7.289111874,4.210274021,4.644390899,11.06
3.928486731,7.324393688,4.212317856,4.646312129,11.23
3.932413695,7.284728431,4.206689165,4.642465971,11.64
3.937300813,7.240206601,4.206827255,4.638604962,11.3
3.940610462,7.236007629,4.209510902,4.638604962,9.99
3.945651186,7.226413279,4.211434778,4.641502115,9.43
3.947969132,7.228372144,4.210894833,4.639571613,8.38
3.95162826,7.173312367,4.208867857,4.638604962,8.35
3.95469928,7.159519044,4.208376868,4.637637376,8.5
3.958715733,7.172019207,4.211084354,4.635699391,8.58
3.961384435,7.204274592,4.212044685,4.637637376,8.27
3.965374181,7.121052764,4.214342549,4.639571613,7.97
3.967079211,7.161438933,4.217484339,4.637637376,7.53
3.970291914,7.161438933,4.215298054,4.636668853,7.88
3.974434266,7.107066522,4.219419764,4.631812117,7.9
3.977436144,7.107066522,4.221348768,4.625952725,7.92
3.980429038,7.107066522,4.22081217,4.633757643,7.99
3.983785372,7.118689771,4.220419399,4.638604962,8.05
3.986573737,7.079723802,4.222180647,4.64053733,8.27
3.990649326,7.015853616,4.218195973,4.636668853,8.14
3.990834186,7.114495363,4.217781668,4.622027303,7.86
3.993418644,7.074221464,4.218187102,4.608165695,7.48
3.99654796,7.067061187,4.216178035,4.601162165,6.99
3.998384171,7.081047429,4.217488024,4.605170186,6.85
3.999850716,7.114495363,4.218911273,4.604169686,6.92
4.004237489,7.086324486,4.218140744,4.599152114,6.56
4.006787582,7.091480345,4.221297694,4.598145571,6.17
4.010056746,7.099396568,4.221326347,4.599152114,5.89
4.013134507,7.086324486,4.227778419,4.602165677,5.85
4.016202824,7.058690522,4.231370966,4.603168183,6.04
4.020518602,7.014238759,4.229659694,4.602165677,6.91
4.023206534,7.007549771,4.230812115,4.610157727,6.43
4.02624415,6.994036052,4.232436123,4.615120517,6.1
4.029628248,7.007549771,4.234612848,4.617098757,6.13
4.034771471,6.954295723,4.234384348,4.62399194,6.37
4.037597828,6.961029756,4.233492003,4.630837933,6.85
4.041119579,6.945029414,4.234621471,4.634728988,6.73
4.044979233,6.880649645,4.233234456,4.639571613,6.58
4.048300624,6.878106585,4.235072153,4.642465971,6.73
4.051958846,6.847313225,4.233475964,4.641502115,7.22
4.055950174,6.849935708,4.234080893,4.645351976,7.29
4.060098123,6.816034156,4.234087854,4.646312129,6.69
4.064228938,6.812827049,4.234877327,4.646312129,6.77
4.066802059,6.812827049,4.230389892,4.650143552,6.83
4.071246511,6.826813291,4.231710591,4.652053772,6.58
4.074991834,6.776980917,4.231700238,4.653007515,6.58
4.079569277,6.693281898,4.234468319,4.661550519,6.87
4.081934542,6.766554099,4.235732633,4.668144985,7.09
4.086816296,6.678130093,4.235645149,4.674696249,7.51
4.090001813,6.70077257,4.234044045,4.681204872,7.75
4.091841432,6.7519553,4.229895054,4.682131227,8.01
4.096176217,6.715587656,4.230122815,4.683056725,8.19
4.099497927,6.70077257,4.23346839,4.683981366,8.3
4.103799721,6.620522544,4.231295478,4.684905154,8.35
4.106931678,6.644053041,4.229719409,4.691347882,8.76
4.109889774,6.639214677,4.222607445,4.705015521,9.12
4.11414719,6.585474007,4.217283334,4.707726774,9.36
4.117735515,6.538156084,4.214887713,4.714024591,9.85
4.119524861,6.593506179,4.21889784,4.721173862,9.84
4.122121843,6.552684185,4.21707494,4.729156166,9.81
4.123741539,6.493770838,4.217457237,4.726502471,9.53
4.125843229,6.535877066,4.220060126,4.725616339,9.24
4.127456914,6.50139089,4.217662866,4.718498871,8.99
4.129711706,6.529172765,4.218499094,4.722063937,9.02
4.131800899,6.56336413,4.220953385,4.725616339,8.84
4.134206096,6.565106705,4.218668988,4.724729421,8.55
4.136445738,6.556522961,4.219705908,4.727387819,8.45
4.139636551,6.573617394,4.21674358,4.744062185,8.23
4.142817216,6.537830828,4.219000919,4.739701079,8.24
4.145987795,6.527366377,4.221170559,4.737951297,8.28
4.147095128,6.573617394,4.221018375,4.737075257,8.26
4.149621578,6.565106705,4.220482102,4.741447804,8.18
4.152141661,6.518782633,4.220972982,4.738826571,8.29
4.152298955,6.600405402,4.221272788,4.740574823,8.15
