Date,x
9/1/2014,1.0194
10/1/2014,1.0196
11/1/2014,1.0197
12/1/2014,1.0198
1/1/2015,1.02
2/1/2015,1.0201
3/1/2015,1.0202
4/1/2015,1.0203
5/1/2015,1.0204
6/1/2015,1.0205
7/1/2015,1.0205
8/1/2015,1.0205
9/1/2015,1.0205
10/1/2015,1.0206
11/1/2015,1.0205
12/1/2015,1.0204
1/1/2016,1.0201
2/1/2016,1.0202
3/1/2016,1.0206
4/1/2016,1.0212
5/1/2016,1.0221
6/1/2016,1.0232
7/1/2016,1.0246
8/1/2016,1.0261
9/1/2016,1.0279
10/1/2016,1.0298
11/1/2016,1.0321
12/1/2016,1.0347
1/1/2017,1.0378
2/1/2017,1.0404
3/1/2017,1.0427
4/1/2017,1.0446
5/1/2017,1.0463
6/1/2017,1.0478
7/1/2017,1.049
8/1/2017,1.0501
9/1/2017,1.0509
10/1/2017,1.0514
11/1/2017,1.0516
12/1/2017,1.0514
1/1/2018,1.0509
2/1/2018,1.0508
3/1/2018,1.0513
4/1/2018,1.0522
5/1/2018,1.0534
6/1/2018,1.0549
7/1/2018,1.0568
8/1/2018,1.0589
9/1/2018,1.0613
10/1/2018,1.064
11/1/2018,1.0673
12/1/2018,1.0712
1/1/2019,1.0756
2/1/2019,1.0792
3/1/2019,1.0819
4/1/2019,1.0838
5/1/2019,1.0852
6/1/2019,1.086
7/1/2019,1.0864
8/1/2019,1.0863
9/1/2019,1.0856
10/1/2019,1.0843
11/1/2019,1.0824
12/1/2019,1.0796
1/1/2020,1.0761
2/1/2020,1.0733
3/1/2020,1.0711
4/1/2020,1.0697
5/1/2020,1.0687
6/1/2020,1.068
7/1/2020,1.0677
8/1/2020,1.0679
9/1/2020,1.0684
10/1/2020,1.0693
11/1/2020,1.0707
12/1/2020,1.0726
1/1/2021,1.075
2/1/2021,1.0774
3/1/2021,1.0798
4/1/2021,1.0821
5/1/2021,1.0845
6/1/2021,1.0869
7/1/2021,1.0893
8/1/2021,1.0918
9/1/2021,1.0943
10/1/2021,1.0969
11/1/2021,1.0995
12/1/2021,1.1021
1/1/2022,1.1048
2/1/2022,1.1074
3/1/2022,1.1097
4/1/2022,1.1119
5/1/2022,1.1139
6/1/2022,1.1159
7/1/2022,1.1177
8/1/2022,1.1194
9/1/2022,1.121
10/1/2022,1.1225
11/1/2022,1.1239
12/1/2022,1.1252
1/1/2023,1.1264
2/1/2023,1.1274
3/1/2023,1.1283
4/1/2023,1.1291
5/1/2023,1.1297
6/1/2023,1.1303
7/1/2023,1.1307
8/1/2023,1.1309
9/1/2023,1.1311
10/1/2023,1.131
11/1/2023,1.1309
12/1/2023,1.1305
1/1/2024,1.13
2/1/2024,1.1296
3/1/2024,1.1292
4/1/2024,1.129
5/1/2024,1.1288
6/1/2024,1.1286
7/1/2024,1.1284
8/1/2024,1.1282
9/1/2024,1.1281
10/1/2024,1.128
11/1/2024,1.1279
12/1/2024,1.1279
1/1/2025,
2/1/2025,
3/1/2025,
4/1/2025,
5/1/2025,
6/1/2025,
7/1/2025,
8/1/2025,
9/1/2025,
10/1/2025,
11/1/2025,
12/1/2025,
