rgddp.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
9.349343157,6.896455724,4.200981086,4.830710862,5.76
9.349799399,6.939166842,4.200657551,4.831508628,5.8
9.358480424,6.933050615,4.198851269,4.833898116,5.6
9.356856497,6.920704779,4.193836191,4.838660029,5.56
9.358023295,6.921148336,4.194460124,4.83786795,5.22
9.365220243,6.974573503,4.192827139,4.839451482,5.31
9.377514365,7.009784409,4.190585846,4.847331743,5.22
9.373783599,6.975098851,4.190160293,4.852811209,5.24
9.378452366,6.954724632,4.192319362,4.852030264,5.27
9.383330106,6.939275721,4.192834415,4.852030264,5.4
9.384253342,6.89906595,4.194653479,4.854371272,5.22
9.3889237,6.889156421,4.19549761,4.853591544,5.3
9.39706746,6.858942643,4.193942005,4.852030264,5.24
9.396629879,6.871836972,4.19502682,4.853591544,5.31
9.393810602,6.852788777,4.196488958,4.860587298,5.29
9.399862029,6.859414452,4.192994774,4.865224091,5.25
9.406952415,6.827787475,4.195380563,4.855928904,5.19
9.399984553,6.808617559,4.196160313,4.846546506,5.39
9.422011971,6.795630363,4.197377725,4.844187086,5.51
9.412800937,6.742721624,4.19789445,4.847331743,5.5
9.421521134,6.769396846,4.198121954,4.845760651,5.56
9.429558067,6.805635449,4.197589038,4.843399375,5.52
9.431969898,6.760323549,4.199211344,4.845760651,5.54
9.432058268,6.774673224,4.198870589,4.848116365,5.54
9.438488579,6.74550069,4.199935985,4.850466542,5.5
9.436436919,6.679542722,4.202742665,4.851248709,5.52
9.444151462,6.733000527,4.201381618,4.842611042,5.5
9.438868122,6.692446127,4.199446538,4.831508628,5.56
9.453775529,6.679542722,4.199619756,4.828313737,5.51
9.456316544,6.640830067,4.198655088,4.825910853,5.49
9.454262388,6.565581426,4.198774302,4.827513417,5.45
9.456855234,6.588570944,4.200192734,4.829113417,5.49
9.465519888,6.569371103,4.199372626,4.826712456,5.56
9.463528045,6.569371103,4.200034863,4.827513417,5.54
9.468571569,6.540592139,4.203349844,4.821893169,5.55
9.481994887,6.612403419,4.2042849,4.81866736,5.51
9.48510634,6.569371103,4.2053673,4.820281566,5.07
9.489310304,6.5748721,4.207588329,4.817050545,4.83
9.487651754,6.53978078,4.208139849,4.810557016,4.68
9.48985972,6.472988639,4.209560053,4.811371017,4.63
9.49754328,6.525392042,4.212762216,4.806477043,4.76
9.502682246,6.449458141,4.21248273,4.808927024,4.81
9.502631183,6.465497967,4.21423848,4.817050545,4.74
9.506349553,6.449458141,4.215711713,4.825910853,4.74
9.506087559,6.537993469,4.214058485,4.829912459,4.76
9.515411794,6.487803725,4.215220312,4.833898116,4.99
9.518174643,6.426815665,4.214804274,4.843399375,5.07
9.520989471,6.426815665,4.216649458,4.852030264,5.22
9.526960277,6.417869918,4.217594192,4.849683763,5.2
9.533062218,6.387333194,4.218720379,4.854371272,5.42
9.543288263,6.362640582,4.221250782,4.850466542,5.3
9.533392967,6.378025501,4.226317739,4.854371272,5.45
9.537473996,6.363802697,4.225858823,4.865994804,5.73
9.543358364,6.347015264,4.22284052,4.873669439,5.85
9.556364982,6.271816449,4.220003334,4.872904621,6.02
9.555006306,6.339110084,4.212939056,4.879767019,6.27
9.557016231,6.315012533,4.214185504,4.896346148,6.53
9.550994211,6.400667977,4.218280574,4.895598484,6.54
9.558997358,6.387333194,4.215250654,4.889596966,6.5
9.561417648,6.281531414,4.214841824,4.903050083,6.52
9.564326554,6.321697456,4.213377483,4.90823336,6.51
9.563316594,6.297791935,4.211624702,4.905274778,6.51
9.561699954,6.305824107,4.208030083,4.914124394,6.4
9.562111482,6.395805428,4.210054027,4.941642423,5.98
9.559956068,6.403648605,4.21158796,4.92289638,5.49
9.557456475,6.427179103,4.21065384,4.911919321,5.31
9.565267269,6.418419923,4.206816744,4.915591745,4.8
9.569887816,6.370939385,4.20469034,4.918520005,4.21
9.563047324,6.464798299,4.203871124,4.90897164,3.97
9.559848979,6.502402524,4.202871318,4.893352133,3.77
9.571290564,6.59611815,4.203361807,4.893352133,3.65
9.55495487,6.608773651,4.20610979,4.892602227,3.07
9.563568513,6.674589765,4.205477375,4.869839484,2.49
9.55822566,6.784126539,4.207810282,4.865994804,2.09
9.572570438,6.833733734,4.20877371,4.852811209,1.82
9.575486623,6.847432578,4.206105756,4.855928904,1.73
9.569616261,6.867635285,4.20506212,4.855150391,1.74
9.574294637,6.893952594,4.207284663,4.865994804,1.73
9.578030713,6.985236368,4.205655794,4.873669439,1.75
9.577934059,6.998355713,4.205969237,4.873669439,1.75
9.581760263,7.004290449,4.207713882,4.874433673,1.75
9.5870591,7.004290449,4.205386374,4.876722877,1.73
9.581350051,6.962945465,4.206420076,4.879006852,1.74
9.581463211,7.027483986,4.206430681,4.885072071,1.75
9.580554605,7.038783541,4.205127565,4.891851758,1.75
9.583459132,7.061970162,4.203382916,4.891100725,1.34
9.589537546,7.128649111,4.200835316,4.889596966,1.24
9.588444698,7.094747559,4.199639861,4.907494535,1.24
9.592414908,7.111841992,4.201161515,4.924350925,1.26
9.588479572,7.089983198,4.202505216,4.950177325,1.25
9.593923813,7.176151445,4.204044784,4.918520005,1.26
9.594931187,7.17184666,4.205807448,4.917788744,1.26
9.606912992,7.250388274,4.205867067,4.927253685,1.22
9.609872247,7.224286837,4.204959185,4.925077406,1.01
9.614672972,7.182317959,4.205196794,4.927253685,1.03
9.620733849,7.197822146,4.205549424,4.930870326,1.01
9.62202152,7.170983474,4.208656877,4.936629881,1.01
9.62782568,7.167696559,4.208505194,4.93375425,1
9.630060263,7.145267022,4.205560841,4.938064601,0.98
9.624704499,7.150304816,4.205637703,4.951592753,1
9.632954655,7.142605322,4.203267871,4.956531035,1.01
9.639164326,7.162658765,4.202743278,4.963543687,1
9.636337057,7.117415073,4.204742865,4.97535348,1
9.645074014,7.127567445,4.207339438,4.989071116,1
9.638608113,7.162310393,4.207464771,4.991792206,1.03
9.647553793,7.057723871,4.211748369,4.99314998,1.26
9.650013909,7.039374733,4.213087788,4.997212274,1.43
9.650793852,7.070790929,4.213228645,4.99518319,1.61
9.658418829,7.094281467,4.211830621,5.010635294,1.76
9.658206963,7.086136499,4.210546762,5.019925341,1.93
9.66218334,7.070790929,4.180887827,5.011967739,2.16
9.671216787,7.057240195,4.210980912,5.016617366,2.28
9.669492713,7.055206198,4.210432702,5.021245473,2.5
9.671202028,7.038192,4.205814446,5.035002651,2.63
9.673824231,7.043307101,4.205133178,5.043425117,2.79
9.671774639,6.97152103,4.203483794,5.038898759,3
9.681025519,6.913357535,4.204881807,5.038898759,3.04
9.682659506,6.896455724,4.207847193,5.051777237,3.26
9.685173757,6.920704779,4.205211609,5.060060177,3.5
9.682236771,6.913357535,4.20356451,5.088830142,3.62
9.684332972,6.913357535,4.201031101,5.113191882,3.78
9.687346117,6.890757703,4.199487575,5.098035484,4
9.694979872,6.870554995,4.199432034,5.093750201,4.16
9.699859271,6.79399504,4.196345491,5.101694025,4.29
9.699412045,6.866933284,4.198144332,5.086361005,4.49
9.707484773,6.805759881,4.195230555,5.088830142,4.59
9.703315683,6.782090137,4.193466675,5.101694025,4.79
9.705990488,6.784253676,4.187681359,5.110782243,4.94
9.70522812,6.754577908,4.186951832,5.112590017,4.99
9.703072735,6.805759881,4.188479809,5.11679549,5.24
9.706282179,6.805759881,4.18842359,5.123368564,5.25
9.709672255,6.76227477,4.190335379,5.108366783,5.25
9.710430031,6.691888558,4.193146691,5.088830142,5.25
9.717252367,6.708207548,4.19461336,5.103518288,5.25
9.717013928,6.679542722,4.195778983,5.109575242,5.24
9.715968593,6.736340321,4.199029055,5.099866428,5.25
9.72221019,6.738605025,4.198607307,5.11679549,5.26
9.715522662,6.779921907,4.1950307,5.131672289,5.26
9.723715224,6.750509928,4.190633717,5.144000006,5.25
9.723371163,6.710126146,4.186793643,5.155024197,5.25
9.724908823,6.748535594,4.187658211,5.157905213,5.25
9.721605839,6.811590802,4.187374909,5.165357239,5.26
9.732908403,6.778388557,4.186161452,5.149817358,5.02
9.734656331,6.757846526,4.186866105,5.156177599,4.94
9.733621878,6.799894762,4.186819116,5.163070217,4.76
9.735093457,6.817387919,4.188507967,5.187385806,4.49
9.739282261,6.837959517,4.187786515,5.185148668,4.24
9.740692585,6.890757703,4.184618464,5.198497031,3.94
9.726311734,6.835667736,4.184359422,5.207845463,2.98
9.728123059,6.85171983,4.184104394,5.235909906,2.61
9.731584494,6.855870444,4.181118269,5.251749731,2.28
9.734545865,6.914920558,4.135831025,5.281171208,1.98
9.746766079,6.98096397,4.153444057,5.300814247,2
9.739124512,7.010190171,4.164884068,5.325446034,2.01
9.734959723,7.10097232,4.174584687,5.293304825,2
